Date,Auto_YoY,Repo_Change3M,CPI_Accel,Returns
2023-02-01,2.2264792696991664,0.0,0.7200000000000006,6.051265412070084
2023-02-28,2.330496037569718,0.25,-0.07999999999999918,0.0
2023-03-01,24.1076740035693,0.25,-0.8599999999999994,-4.256539697108764
2023-03-31,19.85637342908437,0.25,-0.7800000000000002,0.0
2023-04-01,29.271265560165972,0.0,-1.7400000000000002,-0.4453764729378862
2023-04-30,3.2093090668157354,0.0,-0.96,0.0
2023-05-01,-10.294888368680343,0.0,-1.3500000000000005,3.013220454591048
2023-05-31,-13.135636228304637,0.0,-0.39000000000000057,0.0
2023-06-01,-10.518274295364083,0.0,0.16999999999999993,-13.318662486124367
2023-06-30,-10.518274295364083,0.0,0.5600000000000005,0.0
2023-07-01,-3.2304510058403624,0.0,3.130000000000001,7.209615816670412
2023-07-31,-3.2304510058403624,0.0,2.5700000000000003,0.0
2023-08-01,-14.9189230533884,0.0,1.96,-6.7583142982878925
2023-08-31,-14.9189230533884,0.0,-0.6100000000000003,0.0
2023-09-01,8.500099860195732,0.0,-2.420000000000001,22.09736144199217
2023-09-30,8.500099860195732,0.0,-1.8100000000000005,0.0
2023-10-01,28.525287379380913,0.0,-1.96,17.928800206162787
2023-10-31,28.525287379380913,0.0,-0.14999999999999947,0.0
2023-11-01,18.185359013807467,0.0,0.5300000000000002,-5.274248431305217
2023-11-30,18.185359013807467,0.0,0.6799999999999997,0.0
2023-12-01,21.63783419456302,0.0,0.8200000000000003,-10.78649463641307
2023-12-01,11.720961581667044,0.0,0.14000000000000057,-8.152786243327604
2023-12-31,4.207967476267305,0.0,0.14000000000000057,0.0
2024-01-01,12.630189232800348,0.0,-0.5900000000000007,8.082128421179636
2024-01-31,20.793814896390515,0.0,-0.5900000000000007,0.0
2024-02-01,21.45233065132377,0.0,-0.6000000000000005,0.5451568488817671
2024-02-29,-0.5282921621323156,-0.25,-0.009999999999999787,0.0
2024-03-01,0.2098442734602246,-0.25,-0.25,0.7420566627805769
2024-03-31,-15.025130334342707,-0.25,-0.2400000000000002,0.0
2024-04-01,-20.53351231542472,0.0,-0.2599999999999998,-6.482365907421017
2024-04-30,-16.108886581969784,0.0,-0.019999999999999574,0.0
2024-05-01,-13.333992453078913,0.0,-0.04999999999999982,3.307733102865784
2024-05-31,-2.8555069171238068,0.0,-0.03000000000000025,0.0
2024-06-01,-6.847386731554284,0.0,0.25,-11.926989257533982
2024-06-30,-6.847386731554284,0.0,0.28000000000000025,0.0
2024-07-01,-6.811669705652513,0.0,-1.1999999999999997,8.123569794050333
2024-07-31,-6.811669705652513,0.0,-1.48,0.0
2024-08-01,-9.16560262032976,0.0,-1.4300000000000002,-1.99460916442048
2024-08-31,-9.16560262032976,0.0,0.04999999999999982,0.0
2024-09-01,-2.3916238060249784,0.0,1.8900000000000001,8.25489956403047
2024-09-30,-2.3916238060249784,0.0,1.8400000000000003,0.0
2024-10-01,22.242737325921702,0.0,2.56,17.119575445067568
2024-10-31,22.242737325921702,0.0,0.7199999999999998,0.0
2024-11-01,18.328738473238904,0.0,-0.009999999999999787,0.0
2024-11-30,18.328738473238904,0.0,-0.7299999999999995,0.0
2024-12-01,34.35300721039678,0.0,-0.9900000000000002,0.0
2024-12-31,34.35300721039678,0.25,-0.2600000000000007,0.0
